Last login: Wed Jul 29 20:42:45 on ttys002
/Users/admin/.zprofile:1: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/.zprofile:2: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
admin@MacBook-Air-4 ~ % /Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
2026-07-29 20:59:44.089 TouchPad[58918:1806011] [TouchPad] 正在初始化...
2026-07-29 20:59:44.418 TouchPad[58918:1806033] [TouchPad] 服务已启动 (仅USB模式)
9527
2026-07-29 20:59:44.436 TouchPad[58918:1806028] [TouchPad] USB 隧道已建立: GYH9X19B13003272
2026-07-29 20:59:57.661 TouchPad[58918:1806011] [TouchPad] CMD_GESTURE_ON sent
2026-07-29 20:59:58.726 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 20:59:58.726 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 20:59:58.753 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.05, dy=0.0
2026-07-29 20:59:58.753 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.05, Lines=-30
2026-07-29 20:59:58.757 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.04, dy=0.0
2026-07-29 20:59:58.757 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.04, Lines=-24
2026-07-29 20:59:58.776 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 20:59:58.776 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 20:59:58.792 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 20:59:58.792 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
2026-07-29 20:59:58.808 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 20:59:58.808 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
2026-07-29 20:59:58.824 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 20:59:58.824 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
2026-07-29 20:59:58.844 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.01, dy=0.0
2026-07-29 20:59:58.844 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.01, Lines=-6
